ticker,company,market,isin,source_bas_dt,open,high,low,close,change,day_change_pct,volume,trading_value,listed_shares,market_cap,data_vendor
204320,HL만도,KOSPI,,20250314,41350.0,41450.0,40550.0,40850.0,-650.0,-1.57,146238.0,5983520675.0,46957120.0,1918198352000.0,krx-open-api
207940,삼성바이오로직스,KOSPI,,20250314,1053000.0,1054000.0,1032000.0,1051000.0,-2000.0,-0.19,80429.0,84076014500.0,71174000.0,74803874000000.0,krx-open-api
214150,클래시스,KOSDAQ,,20250314,60000.0,63700.0,59500.0,61300.0,1300.0,2.17,770741.0,47860298800.0,65505659.0,4015496896700.0,krx-open-api
214370,케어젠,KOSDAQ,,20250314,25300.0,27050.0,25100.0,26650.0,1600.0,6.39,95880.0,2551392675.0,53715000.0,1431504750000.0,krx-open-api
214450,파마리서치,KOSDAQ,,20250314,324500.0,336500.0,323500.0,335500.0,11000.0,3.39,69054.0,22995329250.0,10509600.0,3525970800000.0,krx-open-api
218410,RFHIC,KOSDAQ,,20250314,15920.0,16120.0,15670.0,15820.0,0.0,0.0,84104.0,1335917555.0,26484442.0,418983872440.0,krx-open-api
222800,심텍,KOSDAQ,,20250314,21000.0,21650.0,20200.0,21050.0,100.0,0.48,1164228.0,24416521400.0,31854143.0,670529710150.0,krx-open-api
226950,올릭스,KOSDAQ,,20250314,45200.0,49750.0,44500.0,49700.0,4400.0,9.71,1200389.0,57579686550.0,18628015.0,925812345500.0,krx-open-api
229640,LS에코에너지,KOSPI,,20250314,34550.0,37325.0,34550.0,36600.0,1850.0,5.32,289682.0,10536595725.0,30624879.0,1120870571400.0,krx-open-api
237690,에스티팜,KOSDAQ,,20250314,74800.0,76500.0,74100.0,75600.0,1200.0,1.61,82500.0,6251584700.0,20152888.0,1523558332800.0,krx-open-api
240810,원익IPS,KOSDAQ,,20250314,25450.0,26400.0,25200.0,26000.0,700.0,2.77,259545.0,6746509250.0,49083901.0,1276181426000.0,krx-open-api
241560,두산밥캣,KOSPI,,20250314,50400.0,50700.0,49250.0,49550.0,-850.0,-1.69,219187.0,10897071775.0,100249166.0,4967346175300.0,krx-open-api
247540,에코프로비엠,KOSDAQ,,20250314,115300.0,116300.0,111200.0,112500.0,-3100.0,-2.68,685802.0,77542288350.0,97801344.0,11002651200000.0,krx-open-api
