source_bas_dt,ticker,foreign_net_buy_value,institution_net_buy_value,retail_net_buy_value,source,updated_at
20260512,000720,17010797100.0,-30153518250.0,11213300750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000810,16289657750.0,-1078642750.0,-14231051500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,000880,19620615200.0,1175360500.0,-20521157800.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001040,-1073307450.0,-2670287550.0,3702297000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001120,4651438225.0,-4259919125.0,-354568600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001260,-112120440.0,-6580.0,110828760.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001430,-1879375600.0,-597506750.0,2569378950.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001440,108822188100.0,-580818450.0,-107094040500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001450,-3092480975.0,-1400603425.0,3595315000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001510,2908074438.0,-28337780.0,-3089219028.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,001720,-1962007750.0,-538564800.0,2442977950.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,002380,4912516000.0,-1736757000.0,-2953618000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,003000,-772054745.0,235939895.0,532496740.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,003230,-5743783000.0,7940187500.0,-2591801000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,003280,-8991324735.0,-5646452.0,7719172042.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,003310,862877397.0,-14895.0,-862862502.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,003490,-1880080100.0,-2891429750.0,3948534625.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,003550,15950380050.0,-4339826800.0,-11791645750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,003670,20389980250.0,-10874907500.0,-9310816250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,004020,1412767050.0,11164043500.0,-12269590350.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,004170,-11088487250.0,6357012250.0,4792223250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260512,004370,-2589165500.0,-599463250.0,3217705250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000040,-8261544.0,-2460723.0,10722267.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000150,4037487500.0,-11532003500.0,8429715500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000155,1976621500.0,1521080000.0,-3486757500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000250,-8365095500.0,-6269319000.0,14041371000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000270,47176396350.0,-904731100.0,-44734174600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000390,-93721825.0,-2811480.0,51332815.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000660,-1717176321500.0,895781665500.0,839863700500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000720,35925704400.0,-6344817600.0,-29930874900.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000810,4378463250.0,-3277212250.0,-1495200000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,000880,3094244700.0,-2758758450.0,-172880050.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001040,6167822250.0,-6092023500.0,-68392500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001120,1060368775.0,-2299882975.0,914384700.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001260,-57260470.0,-6458580.0,63719050.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001430,7613860100.0,4092947450.0,-11718258150.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001440,43248913600.0,-6852548000.0,-34983550550.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001450,-3209484200.0,3423415400.0,-434977425.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001510,-8419643017.0,630020495.0,8025586107.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,001720,-41601500.0,630283600.0,-616901600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,002380,5843635000.0,-6373761500.0,1303467500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,003000,1847064870.0,-2155309720.0,307643320.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,003230,-20891141500.0,-4702180000.0,24525409000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,003280,-18781707.0,-20463269.0,28179378.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,003310,-361725202.0,-12060.0,361739022.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,003490,5185927100.0,4084090325.0,-8042289400.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,003550,1755553200.0,-1315878350.0,-334464700.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,003670,-6823248750.0,-12585071750.0,19642528000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,004020,8242881025.0,-1145462250.0,-6788921675.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,004170,31441524750.0,-16751358500.0,-14411434000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260513,004370,-494925750.0,-1958042750.0,2469799000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000040,4414166.0,-2378.0,-4411788.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000150,-10234036500.0,72818000.0,8582289000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000155,1687904500.0,869296000.0,-1933408500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000250,-3746721250.0,5144509250.0,-1479507500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000270,-37312057850.0,-7765288100.0,43636742000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000390,-60617950.0,-8711595.0,66317895.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000660,-1602444929500.0,-423287267000.0,1960805224500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000720,-9233294250.0,58528906350.0,-48665774600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000810,22266851500.0,-3299706500.0,-18343130000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,000880,5575315250.0,-1359462400.0,-4218861650.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001040,3100931800.0,-766408350.0,-2321092400.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001120,61181675.0,-256008550.0,79544750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001260,1062130.0,-44640.0,-1017490.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001430,-574821350.0,-153830500.0,817132850.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001440,-19336470750.0,7820382800.0,12726094100.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001450,15524619600.0,2881468800.0,-18401947500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001510,3057985221.0,679070004.0,-3738224760.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,001720,95626600.0,179982700.0,-190787600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,002380,3731472500.0,-3454409500.0,-158827500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,003000,1913978165.0,-942810765.0,-804675280.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,003230,35637269000.0,44413596000.0,-76494439500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,003280,-729564991.0,-7904285.0,603013481.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,003310,479904206.0,768750.0,-480672956.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,003490,13030137075.0,4888865200.0,-17859588925.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,003550,-10150984650.0,12471793950.0,-2443230650.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,003670,-14226046500.0,-18035678500.0,31996342000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,004020,1924493200.0,20149795700.0,-23004445175.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,004170,4105209750.0,1628489500.0,-6152264250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260514,004370,10092872500.0,2035435500.0,-12539081750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000040,-170651.0,0.0,170651.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000150,11910838500.0,4024110500.0,-16263526500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000155,4912928000.0,1811104000.0,-6618601000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000250,3879573750.0,-5350066000.0,1689681750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000270,-61115427050.0,6796731150.0,53541995600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000390,330265425.0,1282650.0,-339170225.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000660,-2622907483500.0,-914640948500.0,3474022319500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000720,-15633014400.0,-14351728950.0,30081090450.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000810,19178901500.0,7609393500.0,-26904710000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,000880,8652193200.0,-6236189850.0,-2082427150.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001040,2416103250.0,9196435750.0,-9973418750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001120,1012918625.0,-491234175.0,-518780300.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001260,5633865.0,-487980.0,-5145885.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001430,6819206750.0,5052833050.0,-11878323000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001440,46875393000.0,-14106573700.0,-31859296000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001450,-209064300.0,3827818700.0,-2780552750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001510,-2086350882.0,392240554.0,1774338743.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,001720,2362356800.0,-3920168450.0,1594141100.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,002380,2457919500.0,-6120613000.0,3737026500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,003000,553092835.0,75775770.0,-636748975.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,003230,-10421238000.0,37007463500.0,-29133961000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,003280,-496118350.0,195314977.0,218933250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,003310,728151645.0,-769860.0,-727381785.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,003490,1119292450.0,3275354475.0,-4503906200.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,003550,-112381830900.0,-29432903850.0,140474516500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,003670,-8510744250.0,940053250.0,7661194750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,004020,9429202100.0,39841840800.0,-49943023725.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,004170,-242039500.0,2021684000.0,-2355598500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260515,004370,8827587000.0,1243397000.0,-9982042000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000040,1345828.0,0.0,-1345828.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000150,-17580648000.0,1732439500.0,15372782500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000155,-925321000.0,828508000.0,139499000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000250,11559438500.0,-3546848250.0,-7776635750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000270,-10020263050.0,4214409600.0,5395462850.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000390,290054675.0,-1100670.0,-300116735.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000660,-1019624903000.0,497369646000.0,522854753500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000720,26124669050.0,-5834326100.0,-22341753850.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000810,-3162186500.0,9902210500.0,-6397322000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,000880,-16708243400.0,-2670061950.0,19308691150.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001040,-20322826450.0,-34660494150.0,52352640450.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001120,-741745575.0,906292950.0,-164358175.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001260,-26682750.0,-84200.0,26766950.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001430,-3144477600.0,2368389400.0,448626200.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001440,-15979363250.0,1840820650.0,14386046700.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001450,37170131500.0,13053527500.0,-48251713900.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001510,2174388152.0,849597422.0,-2683010929.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,001720,-2616475400.0,4740276150.0,-2162266350.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,002380,5653718000.0,-5508785000.0,96114000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,003000,923144510.0,-28396230.0,-674770180.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,003230,-9366231500.0,7634197000.0,6868383500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,003280,-4283531497.0,51259487.0,4435860435.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,003310,552904332.0,-35355.0,-549045692.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,003490,-2421636275.0,2209630275.0,384224200.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,003550,-31489352900.0,-8812001750.0,39419666650.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,003670,-11903900750.0,3547228250.0,7559189250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,004020,-14999139350.0,624673925.0,14585994225.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,004170,1426314750.0,-4344059000.0,2796854250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260518,004370,2948264250.0,1779701250.0,-4711824000.0,pykrx-krx,2026-05-19T08:01:09+09:00
